ID,Text Blocks,Goal Score
1,Supplier implementation of video monitoring on sow farms for 100% of Walmart U.S. by end of 2018,0.9880859851837158
2,"Source 100% of all Cavendish bananas and pineapples sold in Walmart U.S., Sam’s Club, and Asda from supplier farms that have received third party certifications (i.e. Rainforest Alliance, Sustainably Grown and Fair Trade)",0.9879184365272522
3,Source U.S. private-brand coffee more sustainably by the end of 2020,0.9878113865852356
4,"By 2022, we aim to reduce the chemical footprint in personal care, beauty, baby, pet and household cleaning categories in U.S. stores by 10%.",0.9877403378486633
5,"Suppliers have disclosed more than 25,800 facilities in “active” status to Walmart in FY2019",0.9860119223594666
6,"Achieve zero waste6 to landfill from our own operations in key markets, including the U.S., U.K., Japan and Canada by 2025 in accordance with the Zero Waste International Alliance guidelines.",0.9828152060508728
7,"Promoted more than 215,000 people to jobs of greater responsibility and higher pay in Walmart U.S. stores in Fiscal Year 2019",0.9825854301452637
8,Encourage suppliers to develop fertilizer optimization plans,0.9799648523330688
9,"Between 2014 and 2019, provide 4 billion meals to those who need them through grants from Walmart and the Walmart Foundation and food donations from Walmart stores, Sam’s Club locations and distribution centers.",0.9799084067344666
10,Label 100% of food and consumable,0.9792426824569702
11,"Commitment: Walmart has committed to use our ability to bring together stakeholders, including industries, civil society, governments or international organizations, to address the major potential risks to the dignity of workers in a minimum of 10 retail supply chains by 2025",0.9789130091667175
12,"By 2025, we aim to use 100% recyclable, reusable, or industrially compostable packaging for our private brands in the U.S.",0.9777219295501709
13,"Unilever will help certify 60,000 hectares to the Roundtable on Sustainable Palm Oil (RSPO) standards in Sabah as part of a program led by Forever Sabah, WWF Malaysia and the Palm Oil & NGO (PONGO) Alliance.",0.9768920540809631
14,"Achieve an 18% emissions reduction in our own operations by 2025, compared to a 2015 baseline.",0.9732005000114441
15,"Commit to hire 250,000 veterans by 2023.",0.9715710878372192
16,private-brand packaging with the How2Recycle® label by 2022,0.9714033603668213
17,Goal: Walmart will source and use RSPO or equivalent-certified palm oil (mass balance and segregated supply chain systems) and source pulp/paper products with zero net deforestation in 100% of Walmart private-brand products by 2020,0.9700620770454407
18,Communicate with relevant internal and external stakeholders for insight on our progress and priorities,0.9672878980636597
19,Signed contracts to add more than 120 new installations  by 2020,0.9640698432922363
20,"Percent change in Scope 1 and 2 annual emissions, FY2018 vs. FY2017",0.9553241729736328
21,"By 2030, work with suppliers to reduce or avoid carbon dioxide equivalent (CO2e) emissions from Scope 3 by 1 gigaton from global value chains.",0.9551137089729309
22,"In FY2020, Walmart plans to incorporate that same training into its new-driver onboarding process.",0.9542593955993652
23,"At the same time, Walmart India has committed to source 25% of produce sold in its Cash & Carry stores from India’s smallholder farmers.",0.9525750279426575
24,Number private-brand suppliers in How2Recycle® program in the U.S.,0.9522987008094788
25,"Under Project GigatonTM, we aim to work with suppliers to avoid 1 billion metric tons of greenhouse gases from the global value chain by 2030  (Scope 3)",0.9492165446281433
26,First retailer to announce a science-based target to reduce greenhouse gases in alignment with the  Paris Agreement,0.9457364678382874
27,"According to supplier reports, nearly 100% of Walmart U.S. stores' and clubs' seafood selection is sourced in accordance with our sustainable seafood policy",0.937240481376648
28,"By 2025, Walmart U.S. will put millions of associates through focused training programs to equip them with skills to improve career growth, from entry-level positions to jobs with more responsibility and higher pay.",0.9343686103820801
29,16% of associates with revenue-producing responsibility are women  of color35,0.9343432784080505
30,"Percent change in carbon intensity,42 per revenue, FY2018 vs. FY2017",0.9284301996231079
31,Percent change in kWh-per-sq-ft energy intensity (between 2010-2017),0.9119440913200378
32,permanently terminate the facility’s ability to produce product for Walmart.,0.9065303206443787
33,compostable packaging in all Walmart  private-brand products by 2025,0.839587390422821
34,The Walmart Foundation made a commitment to award $15 million to organizations that help reduce food waste and strengthen food banks in Canada from FY2017 through FY2020; more than $11 million has been allocated so far.,0.7805032134056091
35,"In the U.S., Walmart encourages use of the Sustainable Packaging Coalition’s How2Recycle® label; in 2019 Walmart Canada announced a commitment to use this label  on all private brand products by 2025.",0.4863855838775635
36,"Goal: Double the number of on-site solar energy projects at our U.S. stores, Sam’s Club locations and distribution centers by 2020, compared with our 2013 baseline of 240 installations",0.2633957862854004
37,Goal: Power 50% of our operations with renewable sources of energy by 2025,0.24359169602394104
38,"We operate in 27 countries, source products from more than 100 countries and employ approximately 2.2 million associates from diverse backgrounds.",0.21163690090179443
39,extend product shelf life and educate customers about preventing food waste.,0.20785225927829742
40,•  Eliminate the non-recyclable packaging material PVC in general merchandise packaging by 2020,0.20560304820537567
41,"Four years ago, Walmart and the Walmart Foundation committed to providing 4 billion meals through funding and food donations by 2020.",0.17145973443984985
42,"Goal: By 2030, work with suppliers to reduce or avoid greenhouse gas emissions in our China value chain by 50 million metric tons",0.1489536315202713
43,Commitment: Signatory to Catalyst CEO Champions for Change; CEO Action for Diversity & Inclusion; Paradigm for Parity,0.14239898324012756
44,Percent of product sales of apparel and soft home categories sourced from supplier facilities that have completed the Sustainable Apparel Coalition’s Higg Facility Environmental Module (Higg FEM) assessment for Walmart U.S.,0.1387280970811844
45,"In 2014, Walmart and the Walmart Foundation set a goal to provide nutrition education to 4 million people by 2020.",0.12950542569160461
46,Goal: Achieve an 18% emissions reduction in Walmart’s own operations by 2025 (over 2015 baseline),0.11289703100919724
47,Be powered by 50% renewable sources by 2025.,0.11120277643203735
48,We will continue to source from facilities with orange ratings as they work to remediate the violations.,0.10737767815589905
49,We have set a science-based target12 to reduce GHG emissions in our own operations (Scopes 1 and 2) by 18% by 2025 (compared with 2015 levels) through multiple initiatives.,0.10659082978963852
