Image Name,BLIP Caption,Goal_1,Goal_2,TF-IDF_Goal_1,TF-IDF_Goal_2,SBERT_Goal_1,SBERT_Goal_2,Image-Goal_1,Image-Goal_2,Goal 1 Label,Goal 2 Label
0.jpg,a large white airplane flying over a mountain,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.0,0.0,0.17507303,0.15469587,0.2734375,0.276611328125,0,0
1.jpg,a bunch of purple flowers in a field,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.0,0.0,0.00492905,-0.0055402573,0.252197265625,0.218505859375,0,0
2.jpg,a blue sky with a few clouds,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.0,0.1356162681012969,0.047593053,-0.015058823,0.2376708984375,0.24658203125,0,0
3.jpg,a man flying a kite in the sky,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.0915405806626789,0.0,0.1388813,0.038576897,0.27001953125,0.248291015625,0,0
4.jpg,a man and woman smiling for the camera,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.0871346684919693,0.0562771713007937,0.034855086,-0.006874919,0.222900390625,0.1907958984375,0,0
5.jpg,a white and blue striped background,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.0,0.0652608767486434,-0.042893186,-0.07741016,0.2252197265625,0.2149658203125,0,0
6.jpg,a stream in the mountains with rocks and water,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.0833092591223341,0.1699899353706121,-0.023562804,-0.08428258,0.214599609375,0.1982421875,0,0
7.tiff,the line of the line of the line of the line of the line of the line of the,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.1510866370887821,0.0,-0.0022403263,-0.02486738,0.195556640625,0.19287109375,0,0
8.tiff,a black and white photo of a handwritten signature,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.0,0.054443949690238,0.0082963295,0.015358912,0.1607666015625,0.171630859375,0,0
9.jpg,a pond with water lillies and other plants,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.0,0.1777955634407829,-0.058700036,-0.06571471,0.1971435546875,0.204345703125,0,1
10.jpg,george krass smiling and looking at the camera,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.0808181789626267,0.0521975762393258,0.014957596,-0.025133915,0.2132568359375,0.1781005859375,0,0
11.jpg,a group of people standing around a man in a green shirt,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.0,0.0,-0.053816933,-0.022653822,0.2012939453125,0.176513671875,0,0
12.jpg,a man and a woman looking at a laptop,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.0,0.0591227926620563,-0.07339915,-0.003482001,0.2376708984375,0.2125244140625,0,0
13.jpg,a man in a blue shirt,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.0,0.0,-0.022908993,-0.043534286,0.25146484375,0.261962890625,1,1
14.jpg,a man in a blue shirt and glasses working on a machine,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.0,0.0476767465883859,0.036739964,0.04942775,0.2578125,0.258056640625,0,0
15.jpg,a man with a beard and a blue shirt,Catalyze the industry toward sustainable aviation fuel commercialization,Work with aviation stakeholders to ensure that all Boeing products comply with chemical restrictions and bans ,0.0,0.1942711478162102,0.00815539,-0.026225321,0.230224609375,0.18505859375,0,0
