Image Name,BLIP Caption,Goal_1,Goal_2,Goal_3,TF-IDF_Goal_1,TF-IDF_Goal_2,TF-IDF_Goal_3,SBERT_Goal_1,SBERT_Goal_2,SBERT_Goal_3,Image-Goal_1,Image-Goal_2,Image-Goal_3
0.jpg,a large server room with many servers,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0,0.21247405,0.06929359,0.17073984,0.30517578125,0.22265625,0.20947265625
1.jpg,an island in the middle of the ocean,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.15231596383726648,-0.07271797,0.042983066,0.17462929,0.1793212890625,0.219970703125,0.1741943359375
2.jpg,google headquarters in san,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0997523648960143,0.0,0.07946834190700279,0.31467253,0.096971765,0.2158543,0.327880859375,0.2164306640625,0.22900390625
3.jpg,the wind farm in the netherlands,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.11238520690418552,-0.0031004064,0.22008367,0.21761566,0.2489013671875,0.273681640625,0.21728515625
4.jpg,a man and his dog on a bridge,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0,-0.06381851,-0.039166156,0.030755524,0.1953125,0.22998046875,0.21533203125
5.jpg,a long row of wine bottles,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0665708654513607,-0.06502729,-0.0064777937,0.12075875,0.301025390625,0.2230224609375,0.2161865234375
6.jpg,a large parking lot with a lot of cars parked on it,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.04198046174690077,0.07500841,0.0537905,0.12229276,0.285888671875,0.266357421875,0.248291015625
7.jpg,a large room filled with lots of wires,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0556158789506757,0.05620457,0.019271825,0.13566515,0.28369140625,0.218994140625,0.2010498046875
8.jpg,a large array of solar panels in a desert,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0556158789506757,0.033973493,0.20640005,0.18170846,0.22998046875,0.265869140625,0.2230224609375
9.jpg,a wind turbine at night,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.06335264736351078,0.0,0.050595492149149136,-0.100936204,0.065284744,0.117717266,0.222412109375,0.277099609375,0.2030029296875
10.jpg,a wind turbine is seen in the background,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0556158789506757,-0.110937804,0.020189654,0.05888272,0.2169189453125,0.2783203125,0.2186279296875
11.jpg,a pipe is being installed on a construction site,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0,0.07333772,0.12557992,0.2025504,0.22998046875,0.269775390625,0.246337890625
12.jpg,a wind turbine in a field of green grass,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0556158789506757,-0.006921836,0.1835887,0.11881564,0.21728515625,0.27734375,0.186767578125
13.jpg,a staircase with a globe hanging from the ceiling,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0556158789506757,-0.047729384,-0.1130165,0.035338733,0.21923828125,0.2320556640625,0.2193603515625
14.jpg,a group of people sitting around a table,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.06036015533704126,-0.009114796,0.03002945,0.00034591742,0.2249755859375,0.222412109375,0.236328125
15.jpg,a man is filling gas into his car,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0,-0.0012489818,0.050074637,-0.04934521,0.209716796875,0.236328125,0.2366943359375
16.jpg,a group of people walking around a tent,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.06036015533704126,-0.10803431,0.034424223,0.035141382,0.2276611328125,0.23291015625,0.2222900390625
17.jpg,a woman sitting on a couch using a cell,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0,0.0469449,0.0068664923,0.07541874,0.2042236328125,0.1888427734375,0.1669921875
18.jpg,a woman sitting at a table using her cell,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.04619933430801467,0.0,0.03689629642254524,0.08453419,0.01656583,0.04749451,0.1959228515625,0.186279296875,0.190185546875
19.png,google assistant and google assistant,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.13131169789711827,0.0,0.0,0.330171,0.02575885,-0.010701396,0.2176513671875,0.1807861328125,0.170654296875
20.jpg,nest nest nest nest nest nest nest nest nest nest nest nest nest nest nest nest nest nest nest,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0,0.0065054763,-0.012368191,0.0046222955,0.1697998046875,0.2052001953125,0.1815185546875
21.png,two people sitting on a couch using a laptop,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.0,-0.051847294,-0.016276356,-0.021946043,0.2034912109375,0.2088623046875,0.1923828125
22.jpg,a little boy looking out a window at snow,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.04619933430801468,0.0,0.03689629642254525,-0.0780634,-0.020180859,-0.009904735,0.183837890625,0.213623046875,0.2030029296875
23.jpg,an aerial view of a city with many buildings,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.05183906606202938,0.08784376,0.09265834,0.10089338,0.212158203125,0.2156982421875,0.1783447265625
24.jpg,a man pointing at a white board,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.055703853932720176,0.0,0.04448691604249497,-0.14463028,-0.054585632,-0.0027202778,0.2266845703125,0.2401123046875,0.21630859375
25.jpg,a view of a residential area with a roof,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.12627356668359196,0.05031506,-0.0065430515,0.15156065,0.1710205078125,0.2396240234375,0.1722412109375
26.jpg,a satellite image of the city of houston,"Maintain or improve quarterly PUE at each Google data center, year over year",Maintain carbon neutrality for our operations each year,"Reduce potable water intensity at our Bay Area headquarters by 5% by the end of 2019, against a 2017 baseline",0.0,0.0,0.16267796143561292,0.13499314,-0.03825078,0.16589814,0.262451171875,0.231201171875,0.263671875
